1/2005,665864,440590,385548,642660
3/2005,674569,445471,378071,638619
6/2005,684678,456700,369423,628566
9/2005,673631,459595,381890,627021
12/2005,669154,456626,387189,630630
3/2006,676069,461400,382113,627268
6/2006,684219,473415,376331,616996
9/2006,674710,477544,388307,614863
12/2006,674718,473076,391622,621419
3/2007,680009,477197,389365,618952
6/2007,697710,483311,375344,614889
9/2007,688382,486505,388248,613513
12/2007,691165,492071,386488,608117
3/2008,692557,490256,385872,609866
6/2008,694183,504223,385010,596488
9/2008,686467,507257,392799,593566
12/2008,680731,503368,397512,596552
3/2009,683334,508039,393766,591509
6/2009,678686,505339,397955,594002
9/2009,678772,507106,397370,591963
12/2009,677101,505511,397916,592863
3/2010,682585,520735,391277,576975
6/2010,682932,525280,390241,571942
9/2010,673766,521227,398853,575656
12/2010,662788,523770,408494,572168
3/2011,673706,525050,396398,569746
6/2011,681343,527946,387660,566080
9/2011,669798,521961,397897,570958
12/2011,663966,521089,400950,569578
3/2012,675180,524358,386979,564003
6/2012,678144,525360,381684,561302
9/2012,657122,519844,400487,564966
12/2012,644489,529895,410485,552762
3/2013,643468,527355,408887,553236
6/2013,649108,524262,400053,553225
9/2013,641389,524313,405274,551023
12/2013,634192,524710,409452,547922
3/2014,641384,523303,400548,547490
6/2014,645551,519673,394336,549272