03/2005,166.4,315.6,30.6,489.1,26.6
06/2005,157.3,316.5,33.6,483.8,25.5
09/2005,132.5,317.8,29.9,497.3,20.4
12/2005,147.0,312.7,31.4,497.6,20.2
03/2006,151.7,311.6,36.7,496.9,20.9
06/2006,149.0,309.3,33.2,503.4,14.4
09/2006,128.7,310.7,38.4,498.7,16.9
12/2006,145.1,300.9,37.6,494.8,24.8
03/2007,150.6,300.6,36.6,497.1,28.1
06/2007,148.9,301.7,48.5,489.9,19.2
09/2007,120.5,306.2,51.7,490.9,20.9
12/2007,142.2,289.6,51.0,498.4,20.6
03/2008,142.3,284.5,56.3,492.7,18.8
06/2008,136.5,291.3,57.7,494.3,16.0
09/2008,119.7,295.8,58.2,488.6,19.2
12/2008,127.8,290.3,58.2,493.0,17.0
03/2009,132.0,292.0,54.6,496.6,18.9
06/2009,134.5,292.1,55.5,485.5,17.6
09/2009,128.8,292.6,53.3,497.0,20.2
12/2009,141.2,281.3,54.7,494.3,17.8
03/2010,141.1,284.2,60.0,488.6,16.8
06/2010,133.2,274.9,60.2,484.3,15.6
09/2010,121.9,274.3,55.4,487.9,22.7
12/2010,130.2,276.8,61.3,487.9,18.2
03/2011,136.8,270.2,61.6,486.5,25.5
06/2011,130.3,268.8,56.5,489.2,21.4
09/2011,120.8,267.6,48.8,498.7,17.8
12/2011,136.2,264.9,56.9,493.6,17.2
03/2012,142.7,258.2,59.9,491.2,18.6
06/2012,135.1,253.2,57.4,488.2,17.0
09/2012,120.2,260.6,60.8,483.1,18.3
12/2012,137.7,254.8,62.3,492.7,18.0
03/2013,138.6,243.9,68.6,494.8,17.3
06/2013,137.8,247.7,70.5,490.5,15.5
09/2013,109.7,255.5,70.9,500.6,16.5
12/2013,115.1,254.5,76.7,495.5,14.5
03/2014,126.9,249.2,68.0,497.0,16.2
06/2014,133.1,240.3,68.9,492.6,13.1
09/2014,121.6,241.2,70.8,494.4,15.5