 Licitación,,,,
"Datos de: SERIE=LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - POR ORGANISMOS - TOTAL, LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - VIVIENDA, LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - TOTAL, LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - OBRA CIVIL - TOTAL",,,,
COMUNIDAD AUTONOMA,CASTILLA Y LEON,,,
SERIE,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - POR ORGANISMOS - TOTAL,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - VIVIENDA,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - EDIFICACIÓN - TOTAL,LICITACIÓN OFICIAL DE OBRAS PÚBLICAS - OBRA CIVIL - TOTAL
UNIDAD DE MEDIDA,MILES DE EUROS,MILES DE EUROS,MILES DE EUROS,MILES DE EUROS
,VALOR,VALOR,VALOR,VALOR
TRIMESTRE,Sum,Sum,Sum,Sum
1º TRIM. 1992,    76469.78,     1940.67,    31202.75,    45267.03
2º TRIM. 1992,    76437.92,     1216.45,    18889.81,    57548.11
3º TRIM. 1992,   221147.81,     9787.48,    52964.19,   168183.02
4º TRIM. 1992,   291551.57,    41219.21,   117289.32,   174262.26
1º TRIM. 1993,   125070.62,      979.65,     33969.2,    91101.41
2º TRIM. 1993,   161313.45,    12779.92,    45923.94,   115388.91
3º TRIM. 1993,   345422.09,    29076.97,    80407.01,   265015.69
4º TRIM. 1993,   257106.97,       48.08,    60714.24,   196386.72
1º TRIM. 1994,     74583.2,     4613.37,    18828.51,    55754.69
2º TRIM. 1994,   266835.55,       79.33,    43738.66,    223097.5
3º TRIM. 1994,   255835.83,      695.97,    33880.86,   221954.97
4º TRIM. 1994,   687490.53,    32770.79,    83272.03,    604219.1
1º TRIM. 1995,   379080.57,      4749.2,    35195.27,    343885.3
2º TRIM. 1995,   147517.22,     4464.32,    50271.06,    97246.16
3º TRIM. 1995,   106323.85,0,     34561.2,    71762.65
4º TRIM. 1995,    183371.2,    12831.01,    54981.19,   128390.01
1º TRIM. 1996,   145036.24,     6328.66,    34059.36,   110976.89
2º TRIM. 1996,   227224.65,0,    40718.57,   186506.08
3º TRIM. 1996,    308727.9,    10304.95,    73898.04,   234830.45
4º TRIM. 1996,   469372.42,    28626.21,   110844.66,   358527.76
1º TRIM. 1997,    54622.38,      393.06,    13415.79,    41206.59
2º TRIM. 1997,   435810.71,     1271.74,    148336.4,    300890.1
3º TRIM. 1997,   296516.76,     2342.14,   122695.42,   173848.76
4º TRIM. 1997,   314231.97,    41343.62,   125725.12,   188506.85
1º TRIM. 1998,   174954.62,     3732.29,    67541.74,   107412.88
2º TRIM. 1998,268942,     4830.33,    70528.77,   174196.15
3º TRIM. 1998,    595134.2,    14022.21,   103046.53,   492084.07
4º TRIM. 1998,   442023.37,    32881.37,   155665.74,   286357.63
1º TRIM. 1999,   189739.52,      1544.6,    93277.08,    96462.44
2º TRIM. 1999,   271026.43,    12134.43,    65444.21,    205582.2
3º TRIM. 1999,   258345.05,      1664.8,    92706.12,   165638.93
4º TRIM. 1999,   411432.45,     4819.52,   151530.78,   259901.67
1º TRIM. 2000,   390766.05,       36.06,   190238.36,   200527.69
2º TRIM. 2000,   241342.42,     1821.07,    64380.42,176962
3º TRIM. 2000,   306095.49,      901.52,    94172.59,    211922.9
4º TRIM. 2000,   109589.14,    20431.41,    78165.83,   183391.03
1º TRIM. 2001,266630,860,45270,221410
2º TRIM. 2001,404290,6820,88890,315480
3º TRIM. 2001,385760,25830,122540,263270
4º TRIM. 2001,792930,9040,102970,689930
1º TRIM. 2002,   259626.95,     1285.73,    68982.04,   190644.91
2º TRIM. 2002,   300978.68,     8481.68,    75206.39,   225772.29
3º TRIM. 2002,   489055.86,     5845.54,    75826.92,   413228.94
4º TRIM. 2002,   507928.73,     3462.27,   108502.32,   399426.41
1º TRIM. 2003,   372636.71,       221.5,   104485.04,   268151.67
2º TRIM. 2003,   1073391.4,      2348.2,   116034.96,   957356.44
3º TRIM. 2003,   522845.18,     2303.36,    78420.37,   444424.82
4º TRIM. 2003,   710221.49,    11078.03,   156900.24,   553321.25
1º TRIM. 2004,   360683.33,     6784.43,    47556.77,   313126.56
2º TRIM. 2004,   454455.93,     2959.63,    76767.59,   377688.34
3º TRIM. 2004,   448241.25,    11988.02,   202731.88,   245509.37
4º TRIM. 2004,   381191.58,     5394.49,   112159.78,   269031.79
1º TRIM. 2005,   230091.53,     5676.45,    63419.52,   166672.02
2º TRIM. 2005,   658909.75,    15715.88,   160878.56,   498031.19
3º TRIM. 2005,   708486.43,    19113.39,   189801.26,   518685.17
4º TRIM. 2005,  1403061.16,     8755.34,   387211.97,  1015849.19
1º TRIM. 2006,   698980.66,    17278.81,222253,   476727.66
2º TRIM. 2006,   667701.35,38565,   344461.31,   323240.04
3º TRIM. 2006,    661353.3,     5308.96,   226950.33,   434402.97
4º TRIM. 2006,   815889.09,16908,   162804.06,   653085.03
1º TRIM. 2007,   631649.46,    50337.41,   313100.76,    318548.7
2º TRIM. 2007,    597780.8,     8397.52,   127853.49,    469927.3
3º TRIM. 2007,  1832708.77,     4525.69,   105504.83,  1727203.94
4º TRIM. 2007,    779660.9,     7431.76,   135916.92,   643743.98
1º TRIM. 2008, 848794.3758,  3580.28822, 258338.2033, 590456.1725
2º TRIM. 2008,117322.9707,  6414.34738, 247752.8956, 925476.8117
3º TRIM. 2008, 521120.7977,  3889.46226, 93833.70354, 427287.0941
4º TRIM. 2008, 441857.3827,   3227.2467, 146804.8451, 295052.5377
1º TRIM. 2009,171828.3817, 12332.74572, 376588.9817,1341694835
2º TRIM. 2009,100056.0763, 50002.98408, 233964.1928,   766596.57
3º TRIM. 2009, 877957.2057,  3910.70817,22346.2515, 654494.6907
4º TRIM. 2009, 971066.6305,  1061.60119, 113732.6557, 857333.9748
1º TRIM. 2010, 240018.1484,  3215.17614, 72511.01467, 167507.1337
2º TRIM. 2010, 455689.7347, 23084.22999, 137267.0133, 318422.7214
3º TRIM. 2010, 543663.5273, 13510.07395, 168414.2008, 375249.3265
4º TRIM. 2010, 431646.5549,  7122.67457, 212602.8922, 219043.6627
1º TRIM. 2011, 389533.7749,   253.58467, 130728.7914, 258804.9835
2º TRIM. 2011, 331046.3623,  7242.05624, 144178.7413,186867621
3º TRIM. 2011, 231694.2696,  4299.45764, 62402.73175, 169291.5378
4º TRIM. 2011,127710.8127,  8121.94966, 77911.01292,1199197114
1º TRIM. 2012, 249186.4715,    98.48136, 19875.60477, 229310.8668
2º TRIM. 2012, 73922.89201,0,  7065.37778, 66857.51423
3º TRIM. 2012, 73962.73788,  6389.02186, 23190.83789, 50771.89999
4º TRIM. 2012, 160701.5109,0, 21835.81257, 138865.6983
1º TRIM. 2013, 97832.58586,0, 16915.11219, 80917.47367
2º TRIM. 2013, 135660.1642,  1031.27253, 19043.63198, 116616.5322
3º TRIM. 2013, 237251.0713,0, 13027.23391, 224223.8374
4º TRIM. 2013, 179568.1888,   241.29059, 37993.71721, 141574.4716
1º TRIM. 2014, 491982.6519,   2564.7891, 21483.35901, 470499.2928
2º TRIM. 2014,13322.6134,  2335.41801, 36697.29685, 96528.83717
3º TRIM. 2014, 186391.0721,0, 33396.87605,152994196
