12/1991,1,1,1
3/1992,1940,31202,45267
6/1992,1216,18889,57548
9/1992,9787,52964,168183
12/1992,41219,117289,174262
3/1993,979,33969,91101
6/1993,12779,45923,115388
9/1993,29076,80407,265015
12/1993,48,60714,196386
3/1994,4613,18828,55754
6/1994,79,43738,223097
9/1994,695,33880,221954
12/1994,32770,83272,604219
3/1995,4749,35195,343885
6/1995,4464,50271,97246
9/1995,0,34561,71762
12/1995,12831,54981,128390
3/1996,6328,34059,110976
6/1996,0,40718,186506
9/1996,10304,73898,234830
12/1996,28626,110844,358527
3/1997,393,13415,41206
6/1997,1271,148336,300890
9/1997,2342,122695,173848
12/1997,41343,125725,188506
3/1998,3732,67541,107412
6/1998,4830,70528,174196
9/1998,14022,103046,492084
12/1998,32881,155665,286357
3/1999,1544,93277,96462
6/1999,12134,65444,205582
9/1999,1664,92706,165638
12/1999,4819,151530,259901
3/2000,36,190238,200527
6/2000,1821,64380,176962
9/2000,901,94172,211922
12/2000,20431,78165,183391
3/2001,862,45272,221410
6/2001,6822,88892,315480
9/2001,25832,122542,263270
12/2001,9042,102972,689930
3/2002,1285,68982,190644
6/2002,8481,75206,225772
9/2002,5845,75826,413228
12/2002,3462,108502,399426
3/2003,221,104485,268151
6/2003,2348,116034,957356
9/2003,2303,78420,444424
12/2003,11078,156900,553321
3/2004,6784,47556,313126
6/2004,2959,76767,377688
9/2004,11988,202731,245509
12/2004,5394,112159,269031
3/2005,5676,63419,166672
6/2005,15715,160878,498031
9/2005,19113,189801,518685
12/2005,8755,387211,1015849
3/2006,17278,222253,476727
6/2006,38565,344461,323240
9/2006,5308,226950,434402
12/2006,16908,162804,653085
3/2007,50337,313100,318548
6/2007,8397,127853,469927
9/2007,4525,105504,1727203
12/2007,7431,135916,643743
3/2008,3580,258338,590456
6/2008,6414,247752,925476
9/2008,3889,93833,427287
12/2008,3227,146804,295052
3/2009,12332,376588,134169
6/2009,50002,233964,766596
9/2009,3910,22346,654494
12/2009,1061,113732,857333
3/2010,3215,72511,167507
6/2010,23084,137267,318422
9/2010,13510,168414,375249
12/2010,7122,212602,219043
3/2011,253,130728,258804
6/2011,7242,144178,186867
9/2011,4299,62402,169291
12/2011,8121,77911,119919
3/2012,98,19875,229310
6/2012,0,7065,66857
9/2012,6389,23190,50771
12/2012,0,21835,138865
3/2013,0,16915,80917
6/2013,1031,19043,116616
9/2013,0,13027,224223
12/2013,241,37993,141574
3/2014,2564,21483,470499
6/2014,2335,36697,96528
9/2014,0,33396,152994